District,D Code,D ID,Total Household,Radio,Television,Print Media,Post Mail,Hand Mail,Social Media,Word Mouth,Church/Mosque,Other,
Kailahun,SLE0101,3230901,"83,348","64,635",725,164,189,146,233,"13,918","1,829","1,509",
Kenema,SLE0102,3230902,"111,734","88,565","1,623",189,150,173,370,"16,274","2,144","2,246",
Kono,SLE0103,3230907,"86,119","59,917","1,077",241,164,123,173,"20,343","1,258","2,823",
Bombali,SLE0201,3230900,"105,902","70,230","3,485",242,210,223,423,"25,666","2,810","2,613",
Kambia,SLE0202,3228942,"53,826","41,059",665,94,97,43,74,"8,941","1,806","1,047",
Koinadugu,SLE0203,3230906,"56,108","27,444",484,86,74,111,147,"24,642","2,300",820,
Port Loko,SLE0204,2541143,"111,701","77,601","1,828",262,258,126,223,"25,629","3,403","2,371",
Tonkolili,SLE0205,2610026,"86,840","57,031","1,209",151,232,194,229,"23,771","2,371","1,652",
Bo,SLE0301,3228959,"102,723","79,397","1,876",202,195,219,659,"17,012","1,043","2,120",
Bonthe,SLE0302,2655937,"32,538","23,767",239,37,41,53,169,"6,807",545,880,
Moyamba,SLE0303,2541142,"61,880","40,912",669,94,149,104,133,"16,810","1,408","1,601",
Pujehun,SLE0304,2607579,"51,514","35,070",504,62,98,126,270,"11,955","1,445","1,984",
Western Area Rural,SLE0401,2541225,"91,284","72,861","4,665",281,142,134,632,"10,591",539,"1,439",
Western Area Urban,SLE0402,3242456,"22,995","161,798","41,949","1,287",321,390,"4,126","15,565","1,301","3,214",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
