Ages,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
0-4,311.30,300.30,330.67,373.61,430.16,502.35,578.68,646.36,700.29,652.26,703.24,864.59,915.49
5-9,241.80,256.03,249.49,277.41,317.65,377.90,450.68,524.69,593.36,557.04,565.05,715.04,810.51
15-19,192.00,204.58,220.96,234.80,229.71,257.21,296.82,354.36,427.73,439.86,467.39,549.45,595.08
10-14,213.00,229.69,243.70,237.93,265.36,305.44,364.68,434.88,511.76,505.08,509.87,604.88,698.79
20-24,171.60,180.98,193.28,209.25,223.09,219.49,246.63,284.54,343.15,360.47,399.04,494.78,533.32
25-29,152.00,159.96,169.17,181.18,196.93,211.45,208.83,234.58,273.09,285.80,323.22,418.66,476.50
30-34,133.40,141.54,149.36,158.40,170.32,186.43,200.98,198.38,224.85,227.03,255.96,339.04,402.78
35-39,116.00,123.79,131.71,139.38,148.41,160.71,176.66,190.37,189.61,186.38,202.57,267.81,325.22
40-44,99.80,106.89,114.39,122.08,129.75,139.22,151.41,166.37,180.67,155.62,165.12,210.73,255.42
75-79,8.30,7.61,7.89,8.53,9.66,11.49,13.71,15.76,16.79,14.25,13.28,16.53,20.21
80+,3.20,2.70,2.56,2.74,3.14,3.90,4.95,5.93,,,,,
70-74,17.50,17.64,18.57,20.29,22.76,26.13,30.11,33.70,36.15,31.97,30.70,37.65,44.49
65-69,29.70,30.76,33.05,36.24,40.05,45.03,50.48,55.60,59.79,54.04,53.32,65.29,75.66
60-64,42.90,45.62,49.49,53.90,59.11,65.20,71.90,78.25,84.04,77.60,78.41,96.18,107.18
55-59,56.50,60.89,65.88,71.57,77.66,84.79,92.36,99.39,107.44,101.25,104.27,124.67,125.82
50-54,70.40,75.83,82.00,88.41,95.40,103.24,111.19,119.75,131.00,125.56,127.48,138.76,158.73
45-49,84.60,91.16,97.93,105.14,112.71,120.79,130.17,141.49,156.65,147.90,136.51,170.27,199.48
