date,district,confirmed_cases,decrease
2020-04-26,Bo,0,0
2020-04-26,Bombali,1,0
2020-04-26,Bonthe,0,0
2020-04-26,Kailahun,0,0
2020-04-26,Kambia,0,0
2020-04-26,Kenema,3,0
2020-04-26,Koinadugu,0,0
2020-04-26,Kono,0,0
2020-04-26,Moyamba,0,0
2020-04-26,Port Loko,6,0
2020-04-26,Pujehun,0,0
2020-04-26,Tonkolili,0,0
2020-04-26,Western Area Rural,15,0
2020-04-26,Western Area Urban,77,0
2020-04-27,Bo,0,0
2020-04-27,Bombali,1,0
2020-04-27,Bonthe,0,0
2020-04-27,Kailahun,0,0
2020-04-27,Kambia,0,0
2020-04-27,Kenema,3,0
2020-04-27,Koinadugu,0,0
2020-04-27,Kono,0,0
2020-04-27,Moyamba,0,0
2020-04-27,Port Loko,6,0
2020-04-27,Pujehun,0,0
2020-04-27,Tonkolili,0,0
2020-04-27,Western Area Rural,15,0
2020-04-27,Western Area Urban,77,0
2020-04-28,Bo,0,0
2020-04-28,Bombali,1,0
2020-04-28,Bonthe,0,0
2020-04-28,Kailahun,0,0
2020-04-28,Kambia,0,0
2020-04-28,Kenema,3,0
2020-04-28,Koinadugu,0,0
2020-04-28,Kono,0,0
2020-04-28,Moyamba,0,0
2020-04-28,Port Loko,6,0
2020-04-28,Pujehun,0,0
2020-04-28,Tonkolili,2,0
2020-04-28,Western Area Rural,15,0
2020-04-28,Western Area Urban,77,0
2020-04-29,Bo,NA,NA
2020-04-29,Bombali,NA,NA
2020-04-29,Bonthe,NA,NA
2020-04-29,Kailahun,NA,NA
2020-04-29,Kambia,NA,NA
2020-04-29,Kenema,NA,NA
2020-04-29,Koinadugu,NA,NA
2020-04-29,Kono,NA,NA
2020-04-29,Moyamba,NA,NA
2020-04-29,Port Loko,NA,NA
2020-04-29,Pujehun,NA,NA
2020-04-29,Tonkolili,NA,NA
2020-04-29,Western Area Rural,NA,NA
2020-04-29,Western Area Urban,NA,NA
2020-04-30,Bo,NA,NA
2020-04-30,Bombali,NA,NA
2020-04-30,Bonthe,NA,NA
2020-04-30,Kailahun,NA,NA
2020-04-30,Kambia,NA,NA
2020-04-30,Kenema,NA,NA
2020-04-30,Koinadugu,NA,NA
2020-04-30,Kono,NA,NA
2020-04-30,Moyamba,NA,NA
2020-04-30,Port Loko,NA,NA
2020-04-30,Pujehun,NA,NA
2020-04-30,Tonkolili,NA,NA
2020-04-30,Western Area Rural,NA,NA
2020-04-30,Western Area Urban,NA,NA
