district,d_code,d_id,total_household,radio,television,print_media,post_mail,hand_mail,social_media,word_mouth,church_or_mosque,other
Bo,SLE0301,3228959,102723,79397,1876,202,195,219,659,17012,1043,2120
Bombali,SLE0201,3230900,105902,70230,3485,242,210,223,423,25666,2810,2613
Bonthe,SLE0302,2655937,32538,23767,239,37,41,53,169,6807,545,880
Kailahun,SLE0101,3230901,83348,64635,725,164,189,146,233,13918,1829,1509
Kambia,SLE0202,3228942,53826,41059,665,94,97,43,74,8941,1806,1047
Kenema,SLE0102,3230902,111734,88565,1623,189,150,173,370,16274,2144,2246
Koinadugu,SLE0203,3230906,56108,27444,484,86,74,111,147,24642,2300,820
Kono,SLE0103,3230907,86119,59917,1077,241,164,123,173,20343,1258,2823
Moyamba,SLE0303,2541142,61880,40912,669,94,149,104,133,16810,1408,1601
Port Loko,SLE0204,2541143,111701,77601,1828,262,258,126,223,25629,3403,2371
Pujehun,SLE0304,2607579,51514,35070,504,62,98,126,270,11955,1445,1984
Tonkolili,SLE0205,2610026,86840,57031,1209,151,232,194,229,23771,2371,1652
Western Area Rural,SLE0401,2541225,91284,72861,4665,281,142,134,632,10591,539,1439
Western Area Urban,SLE0402,3242456,229951,161798,41949,1287,321,390,4126,15565,1301,3214
